country,description,designation,points,province,taster_name,taster_twitter_handle,title,variety,winery
Italy,"Here's a delicious red that opens with appealing ripe plum, blue flower, tobacco and baking spice aromas. Velvety tannins and fresh acidity provide structure and balance, while while juicy black cherry, raspberry compote and licorice flavors envelope the palate. Drink 2019–2032.",Vigna Piaggia,95,Tuscany,Kerin O’Keefe,@kerinokeefe,Abbadia Ardenga 2012 Vigna Piaggia  (Brunello di Montalcino),Sangiovese,Abbadia Ardenga
Italy,"You'll need to swirl the glass a few times to release the enticing scents of yellow stone fruit, Alpine herb and an intriguing smoky note. The savory vibrant palate is more expressive, delivering layers of crunchy green apple, zesty tangerine and juicy yellow peach set against crisp acidity. A flinty mineral note graces the lingering finish, lending even more depth. Drink through 2020.",Praepositus,95,Northeastern Italy,Kerin O’Keefe,@kerinokeefe,Abbazia di Novacella 2015 Praepositus Kerner (Alto Adige),Kerner,Abbazia di Novacella
US,"Sourced from old-vine Bacchus and Weinbau fruit, this also includes 20% grapes from the estate's Heather Hill vineyard. The aromas are dense and penetrating, with a powerful mix of black fruits, ripe berries, smoke, earth, olive and coffee. From the first sniff to the last swallow, the flavors are beautifully integrated and the effect symphonic.",Reserve,97,Washington,Paul Gregutt,@paulgwine ,Abeja 2007 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Abeja
US,"This splendid, resonant, beautifully detailed wine captures everything that is most desirable in the 2014 vintage. Blackberry and black cherry fruit, adorned with a sprinkling of Sumatra coffee beans, rocks on with polished tannins. The pleasing roasted character is just right to power it through a clean, sexy finish. Drink now and on through 2026.",Gran Moraine Vineyard,95,Oregon,Paul Gregutt,@paulgwine ,Aberrant Cellars 2014 Gran Moraine Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Aberrant Cellars
US,"The best of a great flight of single-vineyard 2009 Pinots from Adelsheim, this new entry into the lineup is all muscle and black fruits. It is power-packed with dense, rich flavors, nuanced with exotic spices and black tea, moving into silky tannins and an extremely long, satisfying finish.",Nicholas Vineyard,95,Oregon,Paul Gregutt,@paulgwine ,Adelsheim 2009 Nicholas Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Adelsheim
US,"This blend of Quinta del Mar and Drum Canyon vineyards makes for a very powerful and attention-demanding wine. Sultry aromas of roasted red cherry and caramelized berry meet with well-integrated clove and allspice on the potent nose. The palate explodes with ripe but acid-cut blackberry and raspberry syrup flavors, with thyme, star anise and more dark spices rounding out the power.",Matrix,95,California,Matt Kettmann,@mattkettmann,Aether Wine Company 2014 Matrix Pinot Noir (Santa Barbara County),Pinot Noir,Aether Wine Company
France,"Some vines at Bouscassé are 150 years old, which inevitably give this wine great depth and concentration. It is hugely structured, with very rich, intense black-plum flavors. The tannins are still developing.",Château Bouscassé Vieilles Vignes,95,Southwest France,Roger Voss,@vossroger,Alain Brumont 2006 Château Bouscassé Vieilles Vignes Tannat (Madiran),Tannat,Alain Brumont
France,"This is dense, almost impenetrable, a rich wine that is still dominated by dark tannins and black fruits. A juicy element suggests it is still fresh, still young enough for fruitiness. Dark black flavors are still working their way through and developing. Drink from 2017.",Château Bouscassé Vieilles Vignes,95,Southwest France,Roger Voss,@vossroger,Alain Brumont 2007 Château Bouscassé Vieilles Vignes Tannat (Madiran),Tannat,Alain Brumont
France,"The home vineyard of Madiran's star, Alain Brumont, has yielded a superb wine that is full of dark tannins and with a considerable ability to age. It is balanced, concentrated and touched by spice and toastiness from the wood aging. In tandem with that are generous fruits within a dense structure that is just beginning to smooth out. Drink from 2018–2038.",Château Bouscassé,95,Southwest France,Roger Voss,@vossroger,Alain Brumont 2010 Château Bouscassé Red (Madiran),Red Blend,Alain Brumont
France,"A prodigious effort, the 2009 Vieilles Vignes from Grand Veneur includes a whopping 40% Mourvèdre in the blend (there's also 10% Syrah, with the balance being Grenache), which no doubt accounts for its dark flavor profile. This is a full-bodied, lushly textured, expansive wine, with a finish that seems to go on forever. Approachable now, it should age well for 10–12 years at least.",Domaine Grand Veneur Vieilles Vignes,95,Rhône Valley,Joe Czerwinski,@JoeCz,Alain Jaume et Fils 2009 Domaine Grand Veneur Vieilles Vignes Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Alain Jaume et Fils
US,"From stunningly set vines overlooking the Carmel Valley that in this vintage produced only 1.25 tons an acre (or 1.12 pounds per plant) comes this stellar wine, redolent on the nose with black plum, mulberry, turned earth, wet mud, woody sagebrush, incense and sandalwood. There is great energy on the palate, with mulberry and elderberry flavors enhanced by light coffee, soil and fennel bulbs.",Estate Reserve,95,California,Matt Kettmann,@mattkettmann,Albatross Ridge 2014 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
France,"A superb wine, the tannins carrying along the dense structure with ease and grace. The purity of the ripe berry fruit is very marked, with acidity giving freshness to the sweet wine. The whole ensemble is developing well, but will need many years' aging.",Domaine du Clos Frantin Aux Malconsorts Premier Cru,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2005 Domaine du Clos Frantin Aux Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot
France,"This 2011 is an aristocratic wine, with a mineral character that is now rounding out. Yellow and green fruits mingle with some tannins and a steely core. It will age for several years more, so drink from 2018.",Domaine Long-Depaquit La Moutonne Grand Cru,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2011 Domaine Long-Depaquit La Moutonne Grand Cru  (Chablis),Chardonnay,Albert Bichot
France,"While not in the official canon of Grand Crus, La Moutonne is definitely in grand cru territory, a parcel that is divided between Les Preuses and Vaudésir. The 2012 is very structured, dense and textured, with a strongly tannic character packed with minerality. Time will bring out its fruit and richness. Drink from 2019.",Domaine Long-Depaquit La Moutonne Grand Cru,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2012 Domaine Long-Depaquit La Moutonne Grand Cru  (Chablis),Chardonnay,Albert Bichot
France,"This wine is dense, although you hardly notice the tannins for the weight of concentrated fruit. The tannins are there, though, a power to thrust this immense wine well into the future. It is well formed, firm while rich. Drink from 2024.",Domaine du Clos Frantin,96,Burgundy,Roger Voss,@vossroger,Albert Bichot 2014 Domaine du Clos Frantin  (Chambertin),Pinot Noir,Albert Bichot
France,"This massive wine is powered by dark, concentrated and smoky tannins that are masking the fruit. Dry and dense, it will take many years for the black fruits behind the facade to develop. Drink this intense wine from 2025.",Domaine du Clos Frantin,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2014 Domaine du Clos Frantin  (Grands-Echezeaux),Pinot Noir,Albert Bichot
France,"Regarded almost as a Grand Cru in its own right, the Moutonne vineyard, wholly owned by Albert Bichot, is in a corner of the Vaudésir Grand Cru vineyard. In this sumptuous year, the wine is more generous, ripe yellow fruits than mineral texture. The acidity and the tangy aftertaste are a reminder that this is from cool-climate Chablis. Drink from 2023.",Domaine Long-Depaquit Moutonne,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2015 Domaine Long-Depaquit Moutonne  (Chablis),Chardonnay,Albert Bichot
France,"From one of the high-quality Premier Crus that have much of the reflected glory of the Vosne-Romanée grand crus, the beautiful wine is ripe and packed with great red fruits. Its wood aging is a rich support to this opulent wine with considerable potential. Drink from 2025.",Domaine du Clos Frantin Les Malconsorts Premier Cru,95,Burgundy,Roger Voss,@vossroger,Albert Bichot 2015 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot
France,"Ripe, warm and with delicious strawberry and red-plum fruits, the wine is generous and full of fruit. The tannins are also there, a structure just to support all this fruit. It will be an opulent and beautiful wine as it ages. Drink from 2025.",Les Cent Vignes Premier Cru,95,Burgundy,Roger Voss,@vossroger,Albert Morot 2015 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot
Italy,"Earthy, enticing violet, pressed rose, new leather crushed mint and game aromas follow through to succulent, savory palate, along with Marasca cherry and cranberry notes. Star anise, white pepper and clove accents add depth while youthfully assertive, refined tannins and vibrant acidity provide an ageworthy framework. Drink 2022–2034.",Angelo,96,Piedmont,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2014 Angelo  (Barbaresco),Nebbiolo,Albino Rocca
Italy,"This gorgeous wine's nose offers a potpourri of fragrant blue flowers, exotic spices, crushed herbs and wild berries. The palate delivers tart red cherry, raspberry compote, orange zest and cinnamon flavors framed by firm, refined tannins and bright acidity. A licorice note caps off the lingering finish. Drink 2022–2034.",Ronchi,96,Piedmont,Kerin O’Keefe,@kerinokeefe,Albino Rocca 2014 Ronchi  (Barbaresco),Nebbiolo,Albino Rocca
Italy,"Aromas of dark berry, iris, menthol and a whiff of oak emerge on this vibrant wine. Firmly structured but loaded with finesse, the palate delivers ripe Marasca cherry, crushed black raspberry, vanilla, savory mineral and thyme alongside fine-grained tannins. A licorice note wraps around the tight finish. This is still primary so be sure to give it time to fully develop. Drink 2025–2045.",Bussia Cicala,96,Piedmont,Kerin O’Keefe,@kerinokeefe,Aldo Conterno 2013 Bussia Cicala  (Barolo),Nebbiolo,Aldo Conterno
Italy,"Menthol, pressed rose, iris, woodland berry, chopped mint and a whiff of oak-driven spice take center stage. It's still tight, with youthfully assertive refined tannins but it also boasts layers of red cherry, raspberry compote, cranberry, licorice and vanilla alongside bright acidity. Thanks to its age-worthy structure, you'll need patience for this one. Drink 2028–2048.",Bussia Colonnello,95,Piedmont,Kerin O’Keefe,@kerinokeefe,Aldo Conterno 2013 Bussia Colonnello  (Barolo),Nebbiolo,Aldo Conterno
US,"An extra dollop of toasty oak amplifies the deep black-cherry core. Cedar, pipe tobacco, espresso and dark chocolate highlights wrap around and through the finish. This is a wine with power, precision and exceptional detail. Drink now through the mid-2020s.",Estate Justina,96,Oregon,Paul Gregutt,@paulgwine ,Alloro 2014 Estate Justina Pinot Noir (Chehalem Mountains),Pinot Noir,Alloro
US,"Coming from this exceptional winery the term reserve (or in this case, riservata) actually means a great deal. Flavors are broad and deep and entwined with plum, cherry compote, soy and chocolate. The length and power are impressive: these flavors just don't quit.",Estate Riservata,95,Oregon,Paul Gregutt,@paulgwine ,Alloro 2014 Estate Riservata Pinot Noir (Chehalem Mountains),Pinot Noir,Alloro
US,"Though an accidental opening in a blind tasting, this wine was stellar a decade old, easily rising above its current counterparts. Extremely complex and savory aromas of au jus sauce, porcini mushrooms, charred beef, black olive, mulberry and hearty black plum give way to a mushroom-laden palate. Black truffle, baked cranberry, underbrush and rugged but refined earthiness shine on the sip.",La Encantada Vineyard,95,California,Matt Kettmann,@mattkettmann,Alma Rosa 2006 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Alma Rosa
US,"From one of the warmest sites in the grower's stable, this barrel-fermented, 100% varietal wine is beguiling in its complete embrace of ripe, supple sunshine. A grip of oak tannin helps support the exuberant, juicy, dark blue fruit, further defined by its soft texture and underlying, focused acidity.",Beckstoffer Dr. Crane,98,California,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Dr. Crane Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega
US,"This 100% varietal and barrel-fermented wine is a remarkable study in power and grace. Black cherry, cigar box and cedar bark flavors and an invitingly sweet sensation of tannin are supported by bright, lingering acidity and supple complexity.",Beckstoffer Georges III,97,California,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Alpha Omega
US,"This bold, broad-shouldered wine shows focused truffle, gravel and cassis flavors. Densely layered, it's 100% varietal, 100% barrel-fermented and further aged in new French oak. With its firm structure, it shows plenty of ability to age and will be best from 2022 through 2023.",Beckstoffer Las Piedras,98,California,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Las Piedras Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega
US,"From another of the grower's impressive, coveted sites, this wine imparts soft, dusty cherry, cassis and pomegranate notes, with a luxurious tease of vanilla and coconut macaroon. Full-bodied and robustly built, it's 100% varietal and barrel-fermented and finishes on a compelling streak of cedar, herb and graphite.",Beckstoffer Missouri Hopper,98,California,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer Missouri Hopper Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega
US,"This 100% varietal, barrel-fermented wine from the hallowed site delivers a grip of tension and balanced weight, providing power within its layers of texture. Earthy and pungent with tobacco and herb scents, it offers leather, cedar and black cherry flavors in equal amounts, finishing with length and grace.",Beckstoffer To Kalon,97,California,Virginie Boone,@vboone,Alpha Omega 2012 Beckstoffer To Kalon Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega
US,"This blend from individual blocks includes 94% Cabernet Sauvignon, 4% Cabernet Franc and 2% Merlot. Juicy and round, it expresses chocolate, vanilla, dark cherry and cassis flavors and is a joy to drink and experience evolve. Despite plenty of ripe power and lushness, it also boasts substantial elegance.",ERA,99,California,Virginie Boone,@vboone,Alpha Omega 2012 ERA Red (Napa Valley),Bordeaux-style Red Blend,Alpha Omega
US,"Juicy and seductively smooth, this blockbuster beauty from the revered vineyard site is big, bold and intense, with granular tannins and a grip of integrated French oak. Its bright cassis, lavender, Tahitian vanilla and dried herb flavors are irresistible right out the gate. Ripe and rewarding, it's one to remember.",Stagecoach Vineyard,99,California,Virginie Boone,@vboone,Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Alpha Omega
Argentina,"Inky berry and smoky, minerally aromas of charcoal properly introduce a saturated palate with tons of oak but even more fruit at its base. This supercharged Malbec is almost over the top, with massive blackberry, chocolate and molasses flavors. Burnt toast and chocolate mint-chip flavors on the finish confirm that this is a monster red. Drink through 2023.",Single Vineyard Temis,95,Mendoza Province,Michael Schachner,@wineschach,Alta Vista 2012 Single Vineyard Temis Malbec (Valle de Uco),Malbec,Alta Vista
